date,close
1/2/1980,105.76000213623047
1/3/1980,105.22000122070312
1/4/1980,106.5199966430664
1/7/1980,106.80999755859375
1/8/1980,108.94999694824219
1/9/1980,109.05000305175781
1/10/1980,109.88999938964844
1/11/1980,109.91999816894531
1/14/1980,110.37999725341797
1/15/1980,111.13999938964844
1/16/1980,111.05000305175781
1/17/1980,110.69999694824219
1/18/1980,111.06999969482422
1/21/1980,112.0999984741211
1/22/1980,111.51000213623047
1/23/1980,113.44000244140625
1/24/1980,113.69999694824219
1/25/1980,113.61000061035156
1/28/1980,114.8499984741211
1/29/1980,114.06999969482422
1/30/1980,115.19999694824219
1/31/1980,114.16000366210938
2/1/1980,115.12000274658203
2/4/1980,114.37000274658203
2/5/1980,114.66000366210938
2/6/1980,115.72000122070312
2/7/1980,116.27999877929688
2/8/1980,117.94999694824219
2/11/1980,117.12000274658203
2/12/1980,117.9000015258789
2/13/1980,118.44000244140625
2/14/1980,116.72000122070312
2/15/1980,115.41000366210938
2/19/1980,114.5999984741211
2/20/1980,116.47000122070312
2/21/1980,115.27999877929688
2/22/1980,115.04000091552734
2/25/1980,113.33000183105469
2/26/1980,113.9800033569336
2/27/1980,112.37999725341797
2/28/1980,112.3499984741211
2/29/1980,113.66000366210938
3/3/1980,112.5
3/4/1980,112.77999877929688
3/5/1980,111.12999725341797
3/6/1980,108.6500015258789
3/7/1980,106.9000015258789
3/10/1980,106.51000213623047
3/11/1980,107.77999877929688
3/12/1980,106.87000274658203
3/13/1980,105.62000274658203
3/14/1980,105.43000030517578
3/17/1980,102.26000213623047
3/18/1980,104.0999984741211
3/19/1980,104.30999755859375
3/20/1980,103.12000274658203
3/21/1980,102.30999755859375
3/24/1980,99.27999877929688
3/25/1980,99.19000244140625
3/26/1980,98.68000030517578
3/27/1980,98.22000122070312
3/28/1980,100.68000030517578
3/31/1980,102.08999633789062
4/1/1980,102.18000030517578
4/2/1980,102.68000030517578
4/3/1980,102.1500015258789
4/7/1980,100.19000244140625
4/8/1980,101.19999694824219
4/9/1980,103.11000061035156
4/10/1980,104.08000183105469
4/11/1980,103.79000091552734
4/14/1980,102.83999633789062
4/15/1980,102.62999725341797
4/16/1980,101.54000091552734
4/17/1980,101.05000305175781
4/18/1980,100.55000305175781
4/21/1980,99.80000305175781
4/22/1980,103.43000030517578
4/23/1980,103.7300033569336
4/24/1980,104.4000015258789
4/25/1980,105.16000366210938
4/28/1980,105.63999938964844
4/29/1980,105.86000061035156
4/30/1980,106.29000091552734
5/1/1980,105.45999908447266
5/2/1980,105.58000183105469
5/5/1980,106.37999725341797
5/6/1980,106.25
5/7/1980,107.18000030517578
5/8/1980,106.12999725341797
5/9/1980,104.72000122070312
5/12/1980,104.77999877929688
5/13/1980,106.30000305175781
5/14/1980,106.8499984741211
5/15/1980,106.98999786376953
5/16/1980,107.3499984741211
5/19/1980,107.66999816894531
5/20/1980,107.62000274658203
5/21/1980,107.72000122070312
5/22/1980,109.01000213623047
5/23/1980,110.62000274658203
5/27/1980,111.4000015258789
5/28/1980,112.05999755859375
5/29/1980,110.2699966430664
5/30/1980,111.23999786376953
6/2/1980,110.76000213623047
6/3/1980,110.51000213623047
6/4/1980,112.61000061035156
6/5/1980,112.77999877929688
6/6/1980,113.19999694824219
6/9/1980,113.70999908447266
6/10/1980,114.66000366210938
6/11/1980,116.0199966430664
6/12/1980,115.5199966430664
6/13/1980,115.80999755859375
6/16/1980,116.08999633789062
6/17/1980,116.02999877929688
6/18/1980,116.26000213623047
6/19/1980,114.66000366210938
6/20/1980,114.05999755859375
6/23/1980,114.51000213623047
6/24/1980,115.13999938964844
6/25/1980,116.72000122070312
6/26/1980,116.19000244140625
6/27/1980,116
6/30/1980,114.23999786376953
7/1/1980,114.93000030517578
7/2/1980,115.68000030517578
7/3/1980,117.45999908447266
7/7/1980,118.29000091552734
7/8/1980,117.83999633789062
7/9/1980,117.9800033569336
7/10/1980,116.94999694824219
7/11/1980,117.83999633789062
7/14/1980,120.01000213623047
7/15/1980,119.30000305175781
7/16/1980,119.62999725341797
7/17/1980,121.44000244140625
7/18/1980,122.04000091552734
7/21/1980,122.51000213623047
7/22/1980,122.19000244140625
7/23/1980,121.93000030517578
7/24/1980,121.79000091552734
7/25/1980,120.77999877929688
7/28/1980,121.43000030517578
7/29/1980,122.4000015258789
7/30/1980,122.2300033569336
7/31/1980,121.66999816894531
8/1/1980,121.20999908447266
8/4/1980,120.9800033569336
8/5/1980,120.73999786376953
8/6/1980,121.55000305175781
8/7/1980,123.30000305175781
8/8/1980,123.61000061035156
8/11/1980,124.77999877929688
8/12/1980,123.79000091552734
8/13/1980,123.27999877929688
8/14/1980,125.25
8/15/1980,125.72000122070312
8/18/1980,123.38999938964844
8/19/1980,122.5999984741211
8/20/1980,123.7699966430664
8/21/1980,125.45999908447266
8/22/1980,126.0199966430664
8/25/1980,125.16000366210938
8/26/1980,124.83999633789062
8/27/1980,123.5199966430664
8/28/1980,122.08000183105469
8/29/1980,122.37999725341797
9/2/1980,123.73999786376953
9/3/1980,126.12000274658203
9/4/1980,125.41999816894531
9/5/1980,124.87999725341797
9/8/1980,123.30999755859375
9/9/1980,124.06999969482422
9/10/1980,124.80999755859375
9/11/1980,125.66000366210938
9/12/1980,125.54000091552734
9/15/1980,125.66999816894531
9/16/1980,126.73999786376953
9/17/1980,128.8699951171875
9/18/1980,128.39999389648438
9/19/1980,129.25
9/22/1980,130.39999389648438
9/23/1980,129.42999267578125
9/24/1980,130.3699951171875
9/25/1980,128.72000122070312
9/26/1980,126.3499984741211
9/29/1980,123.54000091552734
9/30/1980,125.45999908447266
10/1/1980,127.12999725341797
10/2/1980,128.08999633789062
10/3/1980,129.3300018310547
10/6/1980,131.72999572753906
10/7/1980,131
10/8/1980,131.64999389648438
10/9/1980,131.0399932861328
10/10/1980,130.2899932861328
10/13/1980,132.02999877929688
10/14/1980,132.02000427246094
10/15/1980,133.6999969482422
10/16/1980,132.22000122070312
10/17/1980,131.52000427246094
10/20/1980,132.61000061035156
10/21/1980,131.83999633789062
10/22/1980,131.9199981689453
10/23/1980,129.52999877929688
10/24/1980,129.85000610351562
10/27/1980,127.87999725341797
10/28/1980,128.0500030517578
10/29/1980,127.91000366210938
10/30/1980,126.29000091552734
10/31/1980,127.47000122070312
11/3/1980,129.0399932861328
11/5/1980,131.3300018310547
11/6/1980,128.91000366210938
11/7/1980,129.17999267578125
11/10/1980,129.47999572753906
11/11/1980,131.25999450683594
11/12/1980,134.58999633789062
11/13/1980,136.49000549316406
11/14/1980,137.14999389648438
11/17/1980,137.75
11/18/1980,139.6999969482422
11/19/1980,139.05999755859375
11/20/1980,140.39999389648438
11/21/1980,139.11000061035156
11/24/1980,138.30999755859375
11/25/1980,139.3300018310547
11/26/1980,140.1699981689453
11/28/1980,140.52000427246094
12/1/1980,137.2100067138672
12/2/1980,136.97000122070312
12/3/1980,136.7100067138672
12/4/1980,136.47999572753906
12/5/1980,134.02999877929688
12/8/1980,130.61000061035156
12/9/1980,130.47999572753906
12/10/1980,128.25999450683594
12/11/1980,127.36000061035156
12/12/1980,129.22999572753906
12/15/1980,129.4499969482422
12/16/1980,130.60000610351562
12/17/1980,132.88999938964844
12/18/1980,133
12/19/1980,133.6999969482422
12/22/1980,135.77999877929688
12/23/1980,135.3000030517578
12/24/1980,135.8800048828125
12/26/1980,136.57000732421875
12/29/1980,135.02999877929688
12/30/1980,135.3300018310547
12/31/1980,135.75999450683594
1/2/1981,136.33999633789062
1/5/1981,137.97000122070312
1/6/1981,138.1199951171875
1/7/1981,135.0800018310547
1/8/1981,133.05999755859375
1/9/1981,133.47999572753906
1/12/1981,133.52000427246094
1/13/1981,133.2899932861328
1/14/1981,133.47000122070312
1/15/1981,134.22000122070312
1/16/1981,134.77000427246094
1/19/1981,134.3699951171875
1/20/1981,131.64999389648438
1/21/1981,131.36000061035156
1/22/1981,130.25999450683594
1/23/1981,130.22999572753906
1/26/1981,129.83999633789062
1/27/1981,131.1199951171875
1/28/1981,130.33999633789062
1/29/1981,130.24000549316406
